spin,label,empirical_probability,theoretical_probability,absolute_error,seed
10047,17,0.025579775057231014,0.02702702702702703,0.0014472519697960144,20260913
10048,17,0.02557722929936306,0.02702702702702703,0.00144979772766397,20260913
10049,17,0.025574684048163997,0.02702702702702703,0.0014523429788630311,20260913
10050,17,0.025572139303482587,0.02702702702702703,0.0014548877235444416,20260913
10051,17,0.025569595065167646,0.02702702702702703,0.0014574319618593824,20260913
10052,17,0.025567051333068046,0.02702702702702703,0.0014599756939589828,20260913
10053,17,0.025564508107032726,0.02702702702702703,0.0014625189199943024,20260913
10054,17,0.025561965386910683,0.02702702702702703,0.0014650616401163455,20260913
10055,17,0.02555942317255097,0.02702702702702703,0.0014676038544760572,20260913
10056,17,0.025556881463802705,0.02702702702702703,0.001470145563224324,20260913
10057,17,0.025554340260515063,0.02702702702702703,0.0014726867665119658,20260913
10058,17,0.025551799562537284,0.02702702702702703,0.0014752274644897444,20260913
10059,17,0.02554925936971866,0.02702702702702703,0.0014777676573083688,20260913
10060,17,0.02554671968190855,0.02702702702702703,0.001480307345118479,20260913
10061,17,0.025544180498956365,0.02702702702702703,0.001482846528070663,20260913
10062,17,0.02554164182071159,0.02702702702702703,0.0014853852063154392,20260913
10063,17,0.02553910364702375,0.02702702702702703,0.0014879233800032775,20260913
10064,17,0.025536565977742447,0.02702702702702703,0.0014904610492845818,20260913
10065,17,0.025534028812717338,0.02702702702702703,0.0014929982143096904,20260913
10066,17,0.025531492151798132,0.02702702702702703,0.001495534875228896,20260913
10067,17,0.02552895599483461,0.02702702702702703,0.001498071032192419,20260913
10068,17,0.025526420341676598,0.02702702702702703,0.0015006066853504307,20260913
10069,17,0.025523885192174,0.02702702702702703,0.00150314183485303,20260913
10070,17,0.025521350546176762,0.02702702702702703,0.0015056764808502668,20260913
10071,17,0.025518816403534903,0.02702702702702703,0.0015082106234921254,20260913
10072,17,0.02551628276409849,0.02702702702702703,0.001510744262928538,20260913
10073,17,0.02551374962771766,0.02702702702702703,0.0015132773993093672,20260913
10074,17,0.025511216994242605,0.02702702702702703,0.0015158100327844239,20260913
10075,17,0.025508684863523572,0.02702702702702703,0.0015183421635034562,20260913
10076,17,0.02550615323541088,0.02702702702702703,0.00152087379161615,20260913
10077,17,0.025503622109754886,0.02702702702702703,0.0015234049172721427,20260913
10078,17,0.025501091486406034,0.02702702702702703,0.001525935540620995,20260913
10079,17,0.025498561365214802,0.02702702702702703,0.0015284656618122262,20260913
10080,17,0.025496031746031746,0.02702702702702703,0.0015309952809952829,20260913
10081,17,0.02549350262870747,0.02702702702702703,0.0015335243983195593,20260913
10082,17,0.02549097401309264,0.02702702702702703,0.0015360530139343874,20260913
10083,17,0.025488445899037985,0.02702702702702703,0.0015385811279890436,20260913
10084,17,0.025485918286394287,0.02702702702702703,0.001541108740632742,20260913
10085,17,0.025483391175012395,0.02702702702702703,0.001543635852014634,20260913
10086,17,0.02548086456474321,0.02702702702702703,0.001546162462283819,20260913
10087,17,0.02547833845543769,0.02702702702702703,0.0015486885715893378,20260913
10088,17,0.025475812846946867,0.02702702702702703,0.0015512141800801613,20260913
10089,17,0.025473287739121817,0.02702702702702703,0.001553739287905212,20260913
10090,17,0.02547076313181368,0.02702702702702703,0.00155626389521335,20260913
10091,17,0.02546823902487365,0.02702702702702703,0.00155878800215338,20260913
10092,17,0.02546571541815299,0.02702702702702703,0.0015613116088740372,20260913
10093,17,0.02546319231150302,0.02702702702702703,0.0015638347155240082,20260913
10094,17,0.025460669704775115,0.02702702702702703,0.0015663573222519135,20260913
10095,17,0.025458147597820703,0.02702702702702703,0.0015688794292063254,20260913
10096,17,0.025455625990491285,0.02702702702702703,0.0015714010365357432,20260913
10097,17,0.025453104882638408,0.02702702702702703,0.001573922144388621,20260913
10098,17,0.025450584274113685,0.02702702702702703,0.0015764427529133436,20260913
10099,17,0.02544806416476879,0.02702702702702703,0.0015789628622582402,20260913
10100,17,0.025445544554455444,0.02702702702702703,0.0015814824725715847,20260913
10101,17,0.025443025443025444,0.02702702702702703,0.0015840015840015848,20260913
10102,17,0.02553949712928133,0.02702702702702703,0.0014875298977456985,20260913
10103,17,0.025536969217064238,0.02702702702702703,0.0014900578099627908,20260913
10104,17,0.02553444180522565,0.02702702702702703,0.001492585221801377,20260913
10105,17,0.02553191489361702,0.02702702702702703,0.0014951121334100086,20260913
10106,17,0.025529388482089847,0.02702702702702703,0.0014976385449371812,20260913
10107,17,0.025526862570495697,0.02702702702702703,0.0015001644565313318,20260913
10108,17,0.02552433715868619,0.02702702702702703,0.0015026898683408382,20260913
10109,17,0.02552181224651301,0.02702702702702703,0.0015052147805140192,20260913
10110,17,0.025519287833827894,0.02702702702702703,0.0015077391931991348,20260913
10111,17,0.025516763920482643,0.02702702702702703,0.0015102631065443857,20260913
10112,17,0.025514240506329115,0.02702702702702703,0.001512786520697914,20260913
10113,17,0.025511717591219223,0.02702702702702703,0.001515309435807806,20260913
10114,17,0.025509195175004943,0.02702702702702703,0.0015178318520220856,20260913
10115,17,0.02550667325753831,0.02702702702702703,0.0015203537694887179,20260913
10116,17,0.025504151838671413,0.02702702702702703,0.0015228751883556157,20260913
10117,17,0.0255016309182564,0.02702702702702703,0.0015253961087706297,20260913
10118,17,0.025499110496145484,0.02702702702702703,0.0015279165308815443,20260913
10119,17,0.02549659057219093,0.02702702702702703,0.001530436454836099,20260913
10120,17,0.025494071146245058,0.02702702702702703,0.0015329558807819707,20260913
10121,17,0.02549155221816026,0.02702702702702703,0.0015354748088667672,20260913
10122,17,0.025489033787788974,0.02702702702702703,0.0015379932392380544,20260913
10123,17,0.0254865158549837,0.02702702702702703,0.0015405111720433289,20260913
10124,17,0.025483998419596997,0.02702702702702703,0.0015430286074300317,20260913
10125,17,0.02548148148148148,0.02702702702702703,0.0015455455455455486,20260913
10126,17,0.02547896504048983,0.02702702702702703,0.001548061986537199,20260913
10127,17,0.02547644909647477,0.02702702702702703,0.0015505779305522577,20260913
10128,17,0.0254739336492891,0.02702702702702703,0.0015530933777379297,20260913
